id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,hit check,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.3488,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [Zone Edit Requested],CSC received a request through Domain Manager to change DNS zone records on a vital domain using CSC's name servers.,"CSC,Domain Registrar,md-action",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=zone_edit_requested NOT srcipv4:$exclusions.global.srcipv4,submitted_by,FALSE,FALSE,FALSE,TRUE,ON,1,Critical,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3488,NA,High,High,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
1.1.3489,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [DNS Change Requested],CSC received a request through Domain Manager to change DNS on a vital domain.,"CSC,Domain Registrar,md-action",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=dns_change_requested NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Critical,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3489,NA,High,High,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
1.1.3496,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [Multilock Removed Requested],CSC received a request through Domain Manager to remove MultiLock (registry locks) from a vital domain.,"CSC,Domain Registrar,md-action",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=multilock_removed_requested NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3496,NA,High,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
1.1.3497,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [Lapse Requested],CSC received a request through Domain Manager to lapse a vital domain.,"CSC,Domain Registrar,md-action",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=lapse_requested NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3497,NA,High,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
1.1.3498,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [Transfer Out Requested],CSC received a request through Domain Manager to transfer out a vital domain.,"CSC,Domain Registrar,md-action",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=transfer_out_requested NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3498,NA,High,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
1.1.3499,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [Vital Domain Added],"A domain has been marked as ""Vital"" by a user.","CSC,Domain Registrar,md-info",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=vital_domain_added NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3499,NA,Medium,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
1.1.3500,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [WHOIS Contact Change Requested],CSC received a request through Domain Manager to change WHOIS contacts on a vital domain.,"CSC,Domain Registrar,md-info",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=whois_contact_change_requested NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3500,NA,Medium,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
1.1.3501,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [New User Added],A new user has been added to the clients account.,"CSC,Domain Registrar,md-info",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=new_user_added NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3501,NA,Medium,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
1.1.3502,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [User Permission Added],"An existing user in the client's account has received a new ""high-risk"" role.","CSC,Domain Registrar,md-info",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=user_permission_added NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3502,NA,Low,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
1.1.3503,CSC Domain Manager,internal,c7191552-e903-41ff-9681-3f689b8538a3,CSC DOMAIN MANAGER [Login],A user has logged in to CSC Domain Manager.,"CSC,Domain Registrar,md-info",NA,Methodology,Methodology,NA,class=csc_domain_manager eventtype=login NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3503,NA,Low,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone proxy rule,,,,passthrough,4.1.2,4.2.2,4.3.2
