id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,Categorization,Metadata_update,Rule Count before,Rule Count after,Tags,RA - investigate,RA - contain,RA - remediate,Comments
1.1.3973,Vendor - Trellix,internal,03e1099a-38d8-403f-b10d-0187521a7836,TRELLIX ENDPOINT HX [Base64 Encoded - Registry Value],"This rule looks for Base64 Encoded Strings observed at registry values identified by HX IOC regkey events generated by Trellix Endpoint Security (HX). Adversaries may use this method to bypass the detections, and it is advised to check the legitimacy of the activity.","Trellix,HX,Registry,Trellix Endpoint,Defense Evasion,Obfuscated Files or Information,T1027,Modify Registry,T1112,md-info",Installation,Suspicious,Methodology,"T1027,T1112",class=fireeye_hx_ioc eventtype:regkeyevent has(regvalue) regvalue:/^(?:[A-Za-z0-9+\/]{4})*(?:[A-Za-z0-9+\/]{4}|[A-Za-z0-9+\/]{3}=|[A-Za-z0-9+\/]{2}={2})$/ NOT srcipv4:$exclusions.global.srcipv4,hostname,FALSE,FALSE,FALSE,FALSE,OFF,2,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3973,Defense Evasion,Medium,High,0,NA,NA,Endpoint,NA,NA,Malware,Native,standalone native rule,,,,Passthrough: Trellix HX,2.1.5,2.2.2,2.3.3,
1.1.3106,Vendor - Trellix,internal,101a5dc0-2b4d-4cfe-925a-dc027e6506e1,TRELLIX HX [Mal Hit Found],This rule looks for Mal (Malware Detection) events generated by Trellix Endpoint Security (HX) logs.,"Trellix,Endpoint,HX,malware,helixhxrule,md-info",Installation,Suspicious,Evil,NA,class=fireeye_hx action=`detection mal hit` NOT srcipv4:$exclusions.global.srcipv4,"dsthost,hash",FALSE,FALSE,FALSE,TRUE,ON,2,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3106,NA,Medium,Medium,0,NA,NA,Endpoint,NA,NA,Malware,3rd party,Standalone proxy rule,,,,Passthrough: Trellix HX,2.1.2,2.2.1,"2.3.2, 2.3.3",
1.1.1841,Vendor - Trellix,internal,031995bd-c570-4221-9239-523e6c62a3ef,TRELLIX HX [IOC Hit Found],This rule looks for IOC detection events generated by Trellix Endpoint Security (HX) logs.,"Trellix,HX,Endpoint,malware,helixhxrule,md-none",Installation,Suspicious,Evil,NA,"class=fireeye_hx action=""detection ioc hit"" NOT srcipv4:$exclusions.global.srcipv4","dsthost,hash,iocname",FALSE,FALSE,FALSE,TRUE,ON,2,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.1841,NA,Medium,High,0,NA,NA,Endpoint,NA,NA,Malware,3rd party,Standalone proxy rule,,,,Passthrough: Trellix HX,2.1.5,2.2.2,2.3.3,
1.1.1909,Vendor - Trellix,internal,7fd901d2-c330-4da3-9373-2f47013423c8,TRELLIX HX [ExD Hit Found],This rule looks for ExD (Exploit Detection) events generated by Trellix Endpoint Security (HX) logs.,"Trellix,HX,Endpoint,malware,exd,helixhxrule,md-none",Installation,Suspicious,Evil,NA,"class=fireeye_hx action=""detection exd hit"" NOT srcipv4:$exclusions.global.srcipv4","dsthost,hash",FALSE,FALSE,FALSE,TRUE,ON,2,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.1909,NA,Medium,High,0,NA,NA,Email,NA,NA,Exploit,3rd party,Standalone proxy rule,,,,Passthrough: Trellix HX,2.1.1,2.2.3,2.3.1,
1.1.2474,Vendor - Trellix,internal,3f549912-775b-4c92-8916-1b5d68c0519f,TRELLIX ENDPOINT HX [Malware Detected: <%= virus %>],Trellix HX Endpoint Security detected malware on this system using the AV engine. This activity was not blocked.,"Trellix,HX,endpoint,Trellix endpoint,helixhxrule,malware,av,md-info",Installation,Suspicious,Evil,NA,class=fireeye_hx_alert eventlog=mal result=alert NOT srcipv4:$exclusions.global.srcipv4,"agentid,malwaretype,virus",FALSE,FALSE,FALSE,TRUE,ON,4,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2474,NA,High,Medium,0,NA,NA,Endpoint,NA,NA,Malware,3rd party,Standalone proxy rule,,,,Passthrough: Trellix HX,2.1.2,2.2.1,"2.3.2, 2.3.3",
1.1.2399,Vendor - Trellix,internal,03e1099a-38d8-403f-b10d-0187521a7836,TRELLIX ENDPOINT HX [IOC Alert - <%= iocnames %>],This rule looks for Process Execution IOC detection events generated by Trellix Endpoint Security (HX).,"Trellix,HX,helixhxrule,ioc,process,process execution,parent process,md5,hash,md-info",Installation,Suspicious,Evil,NA,class=fireeye_hx_alert eventlog=ioc eventtype=processevent NOT srcipv4:$exclusions.global.srcipv4,"agentid,iocnames",FALSE,FALSE,FALSE,TRUE,ON,6,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2399,NA,Medium,High,0,NA,NA,Endpoint,NA,NA,Malware,3rd party,Standalone proxy rule,,,,Passthrough: Trellix HX,2.1.5,2.2.2,2.3.3,
1.1.2508,Vendor - Trellix,internal,03e1099a-38d8-403f-b10d-0187521a7836,TRELLIX ENDPOINT HX [<%= iocnames %>],This rule looks for DNS lookup IOC detection events generated by Trellix Endpoint Security (HX).,"Trellix,endpoint,Trellix endpoint,HX,helixhxrule,ioc,dns,md-none",Installation,Suspicious,Evil,NA,class=fireeye_hx_alert eventlog=ioc eventtype=dnslookupevent NOT srcipv4:$exclusions.global.srcipv4,"agentid,iocnames",FALSE,FALSE,FALSE,TRUE,ON,3,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2508,NA,Medium,High,0,NA,NA,Endpoint,NA,NA,Malware,3rd party,Standalone proxy rule,,,,Passthrough: Trellix HX,2.1.5,2.2.2,2.3.3,
1.1.2509,Vendor - Trellix,internal,03e1099a-38d8-403f-b10d-0187521a7836,TRELLIX ENDPOINT HX [<%= iocnames %>],This rule looks for IPv4 Network IOC detection events generated by Trellix Endpoint Security (HX).,"Trellix,endpoint,Trellix endpoint,HX,helixhxrule,ioc,ip,md-none",Installation,Suspicious,Evil,NA,class=fireeye_hx_alert eventlog=ioc eventtype=ipv4networkevent NOT srcipv4:$exclusions.global.srcipv4,"agentid,iocnames",FALSE,FALSE,FALSE,TRUE,ON,3,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2509,NA,Medium,High,0,NA,NA,Endpoint,NA,NA,Malware,3rd party,Standalone proxy rule,,,,Passthrough: Trellix HX,2.1.5,2.2.2,2.3.3,
1.1.2510,Vendor - Trellix,internal,03e1099a-38d8-403f-b10d-0187521a7836,TRELLIX ENDPOINT HX [<%= iocnames %>],This rule looks for File Write IOC detection events generated by Trellix Endpoint Security (HX).,"Trellix,endpoint,Trellix endpoint,helixhxrule,ioc,HX,file write,file,md5,hash,md-none",Installation,Suspicious,Evil,NA,class=fireeye_hx_alert eventlog=ioc eventtype=filewriteevent NOT srcipv4:$exclusions.global.srcipv4,"agentid,iocnames",FALSE,FALSE,FALSE,TRUE,ON,3,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2510,NA,Medium,High,0,NA,NA,Endpoint,NA,NA,Malware,3rd party,Standalone proxy rule,,,,Passthrough: Trellix HX,2.1.5,2.2.2,2.3.3,
1.1.2511,Vendor - Trellix,internal,03e1099a-38d8-403f-b10d-0187521a7836,TRELLIX ENDPOINT HX [<%= iocnames %>],This rule looks fo URL Monitor IOC detection events generated by Trellix Endpoint Security (HX).,"Trellix,endpoint,Trellix endpoint,helixhxrule,HX,ioc,url,uri,md-none",Installation,Suspicious,Evil,NA,class=fireeye_hx_alert eventlog=ioc eventtype=urlmonitorevent NOT srcipv4:$exclusions.global.srcipv4,"agentid,iocnames",FALSE,FALSE,FALSE,TRUE,ON,3,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2511,NA,Medium,High,0,NA,NA,Endpoint,NA,NA,Malware,3rd party,Standalone proxy rule,,,,Passthrough: Trellix HX,2.1.5,2.2.2,2.3.3,
