id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,hit check,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.2767,Vendor - Imperva,internal,845a9d4c-9be6-40b4-a714-fbf59f4f68b3,IMPERVA INCAPSULA [Vulnerability Scanner],"This rule looks for Imperva Incapsula vulnerability scanner alerts for requests that were not allowed or did not successfully complete, including vulnerability scanners that Incapsula considers trusted. Alerting for this rule is disabled by default.","imperva,incapsula,cdn,vulnerability scanner,Initial Access,Exploit Public-Facing Application,T1190,md-info",Exploitation,Attempted Exploit,Evil,T1190,"class=imperva_incapsula appcategory=`vulnerability scanner` eventname=normal NOT action:[req_passed,req_cached*] NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip",FALSE,FALSE,FALSE,TRUE,OFF,2,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2767,Initial Access,Medium,Medium,0,NA,NA,Network,NA,NA,Vulnerability,3rd party,5,standalone proxy rule,,,,passthrough: Imperva Incapsula,2.1.5,2.2.3,2.3.3
1.1.2816,Vendor - Imperva,internal,7e78da0b-2fba-41ad-bd1e-1eee745fdf78,IMPERVA SECURESPHERE [Unauthorized Source Application],"This rule looks for Imperva SecureSphere Data Security ""Unauthorized Source Application"" alerts. These alerts are triggered by a potentially unauthorized application accessing a database. Alerting for this rule is disabled by default.","imperva,securesphere,data security,unauthorized source application,md-info",Exploitation,Methodology,Methodology,NA,"class=imperva_securesphere [info,eventname]:`unauthorized source application` NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip,targetusername",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2816,NA,Medium,Low,0,NA,NA,Network,NA,NA,Exploit,3rd party,-,standalone proxy rule,,,,passthrough: Imperva SecureSphere ,2.1.5,2.2.4,2.3.3
1.1.2817,Vendor - Imperva,internal,7e78da0b-2fba-41ad-bd1e-1eee745fdf78,IMPERVA SECURESPHERE [Unauthorized Source IP Address],"This rule looks for Imperva SecureSphere Data Security ""Unauthorized Source IP Address"" alerts. These alerts are trigged by a potentially unauthorized IP address accessing a database. Alerting for this rule is disabled by default.","imperva,securesphere,data security,unauthorized source ip address,md-info",Exploitation,Methodology,Methodology,NA,"class=imperva_securesphere [info,eventname]=`unauthorized source ip address` NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2817,NA,Low,Low,0,NA,NA,Network,NA,NA,Exploit,3rd party,-,standalone proxy rule,,,,passthrough: Imperva SecureSphere ,3.1.2,3.2.1,"3.3.1, 3.3.4"
1.1.2818,Vendor - Imperva,internal,7e78da0b-2fba-41ad-bd1e-1eee745fdf78,IMPERVA SECURESPHERE [Unauthorized Database and Schema],"This rule looks for Imperva SecureSphere Data Security ""Unauthorized Database and Schema"" alerts. These alerts are triggered by potentially unauthorized access to a database. Alerting for this rule is disabled by default.","imperva,securesphere,data security,unauthorized database and schema,md-info",Exploitation,Methodology,Methodology,NA,"class=imperva_securesphere [info,eventname]=`unauthorized database and schema` NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2818,NA,Low,Low,0,NA,NA,Endpoint,NA,NA,Exploit,3rd party,-,standalone proxy rule,,,,passthrough: Imperva SecureSphere ,"4.1.1, 4.1.3",4.2.1,4.3.1
1.1.2819,Vendor - Imperva,internal,7e78da0b-2fba-41ad-bd1e-1eee745fdf78,IMPERVA SECURESPHERE [Unauthorized OS User],"This rule looks for Imperva SecureSphere Data Security ""Unauthorized OS User"" alerts. These alerts are triggered by a potentially unauthorized user accessing a database.","imperva,securesphere,data security,unauthorized os user,md-info",Exploitation,Methodology,Methodology,NA,"class=imperva_securesphere [info,eventname]=`unauthorized os user` NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip,targetusername",FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2819,NA,Medium,Low,0,NA,NA,Network,NA,NA,Exploit,3rd party,-,standalone proxy rule,,,,passthrough: Imperva SecureSphere ,4.1.1,4.2.1,4.3.1
1.1.3217,Vendor - Imperva,internal,845a9d4c-9be6-40b4-a714-fbf59f4f68b3,IMPERVA INCAPSULA [SQL Injection - Allowed Request],This rule looks for Imperva Incapsula SQL Injection alerts for allowed requests.,"imperva,incapsula,cdn,sql injection,sqli,Initial Access,Exploit Public-Facing Application,T1190,md-info",Exploitation,Attempted Exploit,Evil,T1190,"class=imperva_incapsula eventname=`sql injection` action:[req_passed,req_cached*] NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip",FALSE,FALSE,FALSE,TRUE,ON,1,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3217,Initial Access,High,Medium,0,NA,NA,Endpoint,NA,NA,Methodology,3rd party,-,standalone proxy rule,,,,passthrough: Imperva Incapsula,"3.1.1, 3.1.3","3.2.4, 3.2.5",3.3.5
1.1.3218,Vendor - Imperva,internal,845a9d4c-9be6-40b4-a714-fbf59f4f68b3,IMPERVA INCAPSULA [Cross-Site Scripting - Allowed Request],This rule looks for Imperva Incapsula Cross-Site Scripting alerts for allowed requests.,"imperva,incapsula,cdn,cross-site scripting,xss,Initial Access,Exploit Public-Facing Application,T1190,md-info",Exploitation,Attempted Exploit,Evil,T1190,"class=imperva_incapsula eventname=`cross site scripting` action:[req_passed,req_cached*] NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3218,Initial Access,High,Low,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,-,standalone proxy rule,,,,passthrough: Imperva Incapsula,"3.1.1, 3.1.3","3.2.4, 3.2.5",3.3.5
1.1.3219,Vendor - Imperva,internal,845a9d4c-9be6-40b4-a714-fbf59f4f68b3,IMPERVA INCAPSULA [Illegal Resource Access - Allowed Request],"This rule looks for Imperva Incapsula Illegal Resource Access alerts for allowed requests. Imperva classifies Illegal Resource Access attacks as malicious attempts to access vulnerable or administrative pages or view or execute system files. This is commonly done using URL guessing, directory traversal, or command injection techniques. Alerting for this rule is disabled by default.","imperva,incapsula,cdn,illegal resource access,Initial Access,Exploit Public-Facing Application,T1190,md-info",Exploitation,Attempted Exploit,Evil,T1190,"class=imperva_incapsula eventname=`illegal resource access` action:[req_passed,req_cached*] NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip",FALSE,FALSE,FALSE,TRUE,OFF,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3219,Initial Access,Medium,Medium,0,NA,NA,Network,NA,NA,Exploit,3rd party,97,standalone proxy rule,,,,passthrough: Imperva Incapsula,"3.1.1, 3.1.3","3.2.4, 3.2.5",3.3.5
1.1.3220,Vendor - Imperva,internal,845a9d4c-9be6-40b4-a714-fbf59f4f68b3,IMPERVA INCAPSULA [Vulnerability Scanner - Allowed Request],"This rule looks for Imperva Incapsula vulnerability scanner alerts for allowed requests, including vulnerability scanners that Incapsula considers trusted. Alerting for this rule is disabled by default.","imperva,incapsula,cdn,vulnerability scanner,Initial Access,Exploit Public-Facing Application,T1190,md-info",Exploitation,Attempted Exploit,Evil,T1190,"class=imperva_incapsula appcategory=`vulnerability scanner` eventname=normal action:[req_passed,req_cached*] NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip",FALSE,FALSE,FALSE,TRUE,OFF,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3220,Initial Access,Medium,Medium,0,NA,NA,Network,NA,NA,Vulnerability,3rd party,-,standalone proxy rule,,,,passthrough: Imperva Incapsula,2.1.5,2.2.3,2.3.3
1.1.3221,Vendor - Imperva,internal,845a9d4c-9be6-40b4-a714-fbf59f4f68b3,IMPERVA INCAPSULA [Malicious Vulnerability Scanner - Allowed Request],This rule looks for Imperva Incapsula alerts that flag the client as a malicious vulnerability scanner for requests that were allowed. This rule does not cover vulnerability scanners that Incapsula considers trusted.,"imperva,incapsula,cdn,vulnerability scanner,Initial Access,Exploit Public-Facing Application,T1190,md-info",Exploitation,Attempted Exploit,Evil,T1190,"class=imperva_incapsula appcategory=`vulnerability scanner` NOT eventname=normal action:[req_passed,req_cached*] NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6,xfwdforip",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3221,Initial Access,Medium,Medium,0,NA,NA,Network,NA,NA,Vulnerability,3rd party,-,standalone proxy rule,,,,passthrough: Imperva Incapsula,2.1.5,2.2.3,2.3.3
