id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,Commnets,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.2663,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [Brute Force Attempt by User],"This rule looks for multiple ""AzureActiveDirectory"" failed login attempts for the same username within a short period of time. This could indicate a brute force attack, but could also be related to benign misconfiguration. If this activity originated from outside the corporate network, a higher priority may be warranted. Consider tuning the thresholds on this rule to reduce alert volume for innocuous failures.","microsoft,o365,office 365,meth.access.bruteforce,Credential Access,Brute Force,T1110,md-info",Delivery,Methodology,Methodology,T1110,"class=ms_office365 service=azureactivedirectory action=userloginfailed (has:srcipv4 OR has:srcipv6) has:username errormessage=[invalidusernameorpassword,idslocked,useraccountnotfound,userdisabled,useraccountnotindirectory] NOT username:`not available` NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,3,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2663,Credential Access,Low,Low,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,"threshold, time",standalone native,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior",4.1.1,4.2.2,4.3.2
1.1.2664,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [Brute Force Attempt by IP],"This rule looks for multiple ""AzureActiveDirectory"" failed login attempts from the same source IP within a short period of time. This could indicate a brute force or password spray attack, but could also be related to benign misconfiguration. If this activity originated from outside the corporate network, a higher priority may be warranted. Consider tuning the thresholds on this rule to reduce alert volume for innocuous failures.","microsoft,o365,office 365,meth.access.bruteforce,Credential Access,Brute Force,T1110,md-info",Delivery,Methodology,Methodology,T1110,"class=ms_office365 service=azureactivedirectory action=userloginfailed (has:srcipv4 OR has:srcipv6) has:username errormessage=[invalidusernameorpassword,idslocked,useraccountnotfound,userdisabled,useraccountnotindirectory] NOT username:`not available` NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6",FALSE,FALSE,FALSE,TRUE,ON,4,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2664,Credential Access,Low,Low,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,"threshold, time",standalone native,Native,,,"Trellix Cloud, Trellix Atomic, Trellix Network Artifact","4.1.1, 3.1.2","4.2.2, 3.2.1",3.3.1
1.1.2665,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [Tor Failed Login],"This rule looks for failed login activity from a Tor exit node. This could indicate an attacker probing accounts from an anonymized souce. Tor can also be used for legitimate purposes, so the severity of this alert largely depends on your organization's policy.","microsoft,o365,office 365,proto.tor.exit,Command and Control,Proxy,T1090,Multi-hop Proxy,T1090.003,md-info",Delivery,Methodology,Methodology,"T1090,T1090.003",class=ms_office365 action=userloginfailed context_tags:tor_exit NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,3,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2665,Command and Control,Low,High,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone native,Cloud,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1, 3.1.2","4.2.2, 3.2.1",3.3.1
1.1.2666,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [Mail Forward Attempt],"This rule looks for a user attempting to set up mail forwarding. Based on the corporate policy, this action may or may not have succeeded.","microsoft,o365,office 365,Collection,Email Collection,T1114,md-info",Delivery,Methodology,Methodology,T1114,"class=ms_office365 service=exchange action=`set-mailbox` rawmsg:&[`DeliverToMailboxAndForward`,`ForwardingSmtpAddress`] NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2666,Collection,Medium,High,0,NA,NA,Email,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Microsoft O365,4.1.1,4.2.2,4.3.2
1.1.2788,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [Inbox Rule Mail Forward],"This rule looks for a user attempting to forward email by using an Outlook filtering rule. This may be benign activity. Attackers who compromise Office 365 email accounts typically leverage email filtering rules to steal email. If this rule triggers an alert, inspect the recipient email address and source IP of the activity for suspicious behavior.","microsoft,o365,office 365,Collection,Email Collection,T1114,md-info",Act,Methodology,Methodology,T1114,"class=ms_office365 service=exchange action=`new-inboxrule` rawmsg:[`ForwardTo`,`ForwardAsAttachmentTo`,`RedirectTo`] NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2788,Collection,Low,High,0,NA,NA,Email,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Microsoft O365,4.1.1,4.2.2,4.3.2
1.1.2789,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [Inbox Rule Suspicious Delete],"This rule looks for a user creating an Outlook filtering rule to delete messages containing suspicious terms. These terms may indicate a user is compromised, used the account to phish others in the organization, and is covering their tracks by deleting any replies to the phish. If this rule triggers an alert, inspect the filtering terms used and source IP of the activity for signs of suspicious behavior.","microsoft,o365,office 365,Collection,Email Collection,T1114,md-info",Act,Methodology,Methodology,T1114,"class=ms_office365 service=exchange action=`new-inboxrule` rawmsg:&[`SubjectOrBodyContainsWords`,`DeleteMessage`] rawmsg:[`Your document has been completed`,`your documents`,`please review`] NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2789,Collection,Medium,Medium,0,NA,NA,Email,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Microsoft O365,4.1.1,4.2.2,4.3.2
1.1.2790,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [eDiscovery Password Search],"This rule looks for an eDiscovery search containing ""password"". Attackers have been known to compromise O365 accounts that have eDiscovery rights, and use this tool to search for sensitive content like passwords.","microsoft,o365,office 365,Collection,Email Collection,T1114,md-info",Act,Methodology,Methodology,T1114,"class=ms_office365 service=securitycompliancecenter action=[`searchcreated`,`searchupdated`] rawmsg:password NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2790,Collection,Medium,Low,0,NA,NA,Cloud,NA,NA,Vulnerability,3rd party,,standalone native,,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior",4.1.1,4.2.2,4.3.2
1.1.2791,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [Multiple eDiscovery Exports],This rule looks for multiple eDiscovery exports from the same user within a short period of time. This could indicate a compromised account exporting email.,"microsoft,o365,office 365,Collection,Email Collection,T1114,md-info",Act,Methodology,Methodology,T1114,"class=ms_office365 service=securitycompliancecenter action=[searchexported,searchexportdownloaded] NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2791,Collection,Medium,Low,0,NA,NA,Email,NA,NA,Exploit,3rd party,,standalone native,Methodology,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior",4.1.1,4.2.2,4.3.2
1.1.2815,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [Tor Authenticated Activity],"This rule looks for authenticated activity from a Tor exit node. This could indicate a compromised account with the attacker hiding their tracks with Tor. Tor can also be used for legitimate purposes, so the severity of this alert largely depends on your organization's policy.","microsoft,o365,office 365,proto.tor.exit,Command and Control,Proxy,T1090,md-action",Installation,Methodology,Methodology,T1090,class=ms_office365 !action=userloginfailed context_tags:tor_exit (missing:errormessage OR errormessage=none) NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,2,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2815,Command and Control,High,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,,standalone native,,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1, 3.1.2","4.2.2, 3.2.1",3.3.1
1.1.2823,Office 365,internal,d99bbccf-251f-4874-9a98-65517b76d7c0,OFFICE 365 [Mail Forward Webmail],"This rule looks for a user attempting to forward email to a public webmail provider such as Gmail or Hotmail. Attackers who compromise Office 365 email accounts typically leverage email filtering/forwarding rules to steal email. If this rule triggers an alert, inspect the recipient email address and source IP of the activity for signs of suspicious behavior.","microsoft,o365,office 365,Collection,Email Collection,T1114,md-action",Act,Methodology,Methodology,T1114,"class=ms_office365 service=exchange ((action=`new-inboxrule` rawmsg:[`ForwardTo`,`ForwardAsAttachmentTo`,`RedirectTo`]) OR (action=`set-mailbox` rawmsg:&[`DeliverToMailboxAndForward`,`ForwardingSmtpAddress`])) rawmsg:[`@gmail.com`,`@yahoo.com`,`@hotmail.com`,`@protonmail.com`,`@pm.me`,`@outlook.com`] NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,1,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2823,Collection,High,Medium,0,NA,NA,Email,NA,NA,Methodology,3rd party,,standalone native,,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior",4.1.1,4.2.2,4.3.2
