id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,Commnets,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.3126,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [MFA Bypass Attempted],Okta detected an attempt to bypass a factor of authentication. Review other events by this user around this timeframe for signs of compromise.,"okta,Credential Access,Two-Factor Authentication Interception,T1111,md-info",NA,Methodology,Methodology,T1111,class=okta eventtype=user.mfa.attempt_bypass NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3126,Credential Access,Medium,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,4.1.1,4.2.2,"4.3.1, 4.3.2"
1.1.3127,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Multiple Lockouts From One Source],Several account lockouts were detected from one source IP. This could be an indication of an attack.,"okta,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,md-info",NA,Methodology,Methodology,T1078,class=okta eventtype=user.account.lock NOT srcipv4:$exclusions.global.srcipv4,"srcipv4,srcipv6",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3127,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone native,Native,,,"Trellix Cloud, Trellix Atomic, Trellix Network Artifact",4.1.1,4.2.1,"4.3.2, 4.3.3"
1.1.3128,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Logon Failure From Tor],A logon failure from a Tor exit node was detected. This may be normal activity depending on your organization's remote access policy.,"okta,md-info",Recon,Methodology,Methodology,NA,"class=okta eventtype:[`user.session.start`,`user.account.lock`,`user.authentication.*`] result=failure context_tags:tor_exit NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6",FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3128,NA,Low,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone native,Native,,,"Trellix Cloud, Trellix Atomic, Trellix Network Artifact","4.1.1, 4.1.2",4.2.1,4.3.3
1.1.3129,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Logon From Tor],A successful logon from a Tor exit node was detected. This may be legitimate depending on your organization's remote access policy.,"okta,Command and Control,Proxy,T1090,Multi-hop Proxy,T1090.003,md-info",NA,Methodology,Methodology,"T1090,T1090.003","class=okta eventtype:[`user.session.start`,`user.authentication.*`] result=success context_tags:tor_exit NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3129,Command and Control,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone native,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior",4.1.1,4.2.2,"4.3.2, 4.3.3"
1.1.3130,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [MFA Deactivated],"A factor of authentication was deactivated. This could be normal business activity, or the result of an attacker downgrading security mechanisms on a compromised account.","okta,md-info",Recon,Methodology,Methodology,NA,class=okta eventtype=user.mfa.factor.deactivate NOT srcipv4:$exclusions.global.srcipv4,"srcipv4,srcipv6,username",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3130,NA,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,4.1.1,4.2.2,"4.3.2, 4.3.3"
1.1.3131,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Admin Privilege Granted],"Detects the Okta adminstrator privileges assigned to non-admin user accounts/group. This could be a normal business activity, hence the analysts are advised to tune the rule for known admin accounts and privilege levels (privlevel).","okta,Persistence,Account Manipulation,T1098,md-info",NA,Methodology,Methodology,T1098,"class=okta eventtype:[`user.account.privilege.grant`,`group.privilege.grant`] NOT privlevel:`super administrator` NOT srcipv4:$exclusions.global.srcipv4","username,targetusername,privlevel",FALSE,FALSE,FALSE,TRUE,ON,2,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3131,Persistence,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,4.1.1,4.2.2,"4.3.1, 4.3.2"
1.1.3135,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [MFA Reset],All authentication factors were reset for a user.,"okta,Credential Access,Two-Factor Authentication Interception,T1111,md-info",NA,Methodology,Methodology,T1111,class=okta eventtype=user.mfa.factor.reset_all NOT srcipv4:$exclusions.global.srcipv4,"username,targetusername",FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3135,Credential Access,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,4.1.1,4.2.2,"4.3.2, 4.3.3"
1.1.3136,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Zone Update],"An IP zone update was made. Depending on your organization's policy, this change could affect if users get challenged. Review the IP range in the raw log to determine if it's legitimate.","okta,Persistence,Account Manipulation,T1098,md-info",NA,Methodology,Methodology,T1098,class=okta eventtype=zone.update NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3136,Persistence,Medium,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,3.1.4,3.2.1,3.3.5
1.1.3137,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Super Administrator Privilege Granted],"A ""super administrator"" privilege has been granted to a user.","okta,Persistence,Account Manipulation,T1098,md-action",NA,Methodology,Methodology,T1098,class=okta eventtype=user.account.privilege.grant privlevel:`super administrator` NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,3,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3137,Persistence,High,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,4.1.1,4.2.2,"4.3.1, 4.3.2"
1.1.3140,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Multiple MFA Failures],Multiple MFA failures were detected for a user. This could be an indicator of an attack on that account. Check other logs for this user around the same timeframe for other indicators of attack.,"okta,Credential Access,Two-Factor Authentication Interception,T1111,md-info",NA,Methodology,Methodology,T1111,class=okta eventtype=user.authentication.auth_via_mfa result=failure NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3140,Credential Access,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone native,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior",4.1.1,4.2.1,4.3.2
