id,query,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,hit check,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.4202,class=nozomi ruleid:$nozomi_alert_action severity<5 NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for low severity events listed in 'nozomi_alert_action'.","nozomi,scada,md-info",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4202,NA,Low,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,normal,severity,no,5,1,passthrough,na,na,na
1.1.4205,class=nozomi ruleid:$nozomi_alert_action severity>=10 NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these critical severity events listed in 'nozomi_alert_action'.","nozomi,scada,md-action",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,Critical,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4205,NA,High,High,0,NA,NA,Network,NA,NA,Methodology,3rd party,no hits,severity,no,,,passthrough,na,na,na
1.1.4203,class=nozomi ruleid:$nozomi_alert_action severity>5 severity<8 NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these medium severity events listed in 'nozomi_alert_action'.","nozomi,scada,md-action",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4203,NA,Medium,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,slight high,severity,no,,,passthrough,na,na,na
1.1.4204,class=nozomi ruleid:$nozomi_alert_action severity>7 severity<=9 NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these high severity events listed in 'nozomi_alert_action'.","nozomi,scada,md-action",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4204,NA,High,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,normal,severity,no,,,passthrough,na,na,na
1.1.4206,class=nozomi ruleid:$nozomi_alert_medium severity<=5 NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these low severity events listed in 'nozomi_alert_medium'.","nozomi,scada,md-info",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4206,NA,Low,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,high for 1 customer,severity,no,3,1,passthrough,na,na,na
1.1.4208,class=nozomi ruleid:$nozomi_alert_medium severity>=10 NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these high severity events listed in 'nozomi_alert_medium'.","nozomi,scada,md-action",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4208,NA,Medium,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,normal,severity,no,,,passthrough,na,na,na
1.1.4207,class=nozomi ruleid:$nozomi_alert_medium severity>5 severity<=9 NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these medium severity events listed in 'nozomi_alert_medium'.","nozomi,scada,md-info",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4207,NA,Medium,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,high for 1 customer,severity,no,,,passthrough,na,na,na
1.1.4194,class=nozomi severity <= 5 NOT ruleid:`audit:*` NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these low severity events, as reported by Nozomi.","nozomi,scada,md-info",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4194,NA,Low,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,high for 1 customer,severity,no,4,1,passthrough,na,na,na
1.1.4195,class=nozomi severity > 5 severity < 8 NOT ruleid:`audit:*` NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these medium severity events, as reported by Nozomi.","nozomi,scada,md-info",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4195,NA,Medium,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,high for 1 customer,severity,no,,,passthrough,na,na,na
1.1.4196,class=nozomi severity > 7 severity <= 9 NOT ruleid:`audit:*` NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these high severity events, as reported by Nozomi.","nozomi,scada,md-info",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4196,NA,High,Medium,0,NA,NA,Network,NA,NA,Methodology,3rd party,slight high,severity,no,,,passthrough,na,na,na
1.1.4197,class=nozomi severity >= 10 NOT ruleid:`audit:*` NOT srcipv4:$exclusions.global.srcipv4,Vendor - Nozomi Networks,internal,c0210780-1c94-45c8-8d83-8b24abdf16dc,NOZOMI NETWORKS [<%= eventname %>],"Nozomi Networks SCADAguardian rapidly detects cyber intrusions, cyber risks and process anomalies. Its up-to-the-minute insights improve cyber resiliency and reliability plus increase the efficiency of both OT and IT staff. This rule looks for these critical severity events, as reported by Nozomi.","nozomi,scada,md-info",Delivery,Methodology,Methodology,NA,,"srcipv4,eventname,ruleid",FALSE,FALSE,FALSE,TRUE,OFF,1,Critical,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4197,NA,High,High,0,NA,NA,Network,NA,NA,Methodology,3rd party,normal,severity,no,,,passthrough,na,na,na    
