id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,hit check,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.2370,TRELLIX NETWORK NX [Malware-Object],2439,No,N/A,Yes,67,63298,,,,class=fireeye_nx_alert eventlog=malware-object severity=majr NOT devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.2375,TRELLIX NETWORK NX [Web-Infection],2439,No,N/A,No,N/A,No,,,,class=fireeye_nx_alert eventlog=web-infection severity=minr NOT devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.2362,TRELLIX NETWORK NX [IPS-Event],2439,No,N/A,Yes,1055,58260,,,,class=fireeye_nx_alert eventlog=ips-event severity=crit NOT devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.2361,TRELLIX NETWORK NX [IPS-Event],2439,No,N/A,Yes,1,11716,,,,class=fireeye_nx_alert eventlog=ips-event severity=majr NOT devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.3288,TRELLIX NETWORK NX [SmartVision-Event],1338,No,N/A,No,N/A,No,,,,class=fireeye_nx_alert eventlog=smartvision-event severity=minr devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.2358,TRELLIX NETWORK NX [Domain-Match],2439,No,N/A,No,N/A,No,,,,class=fireeye_nx_alert eventlog=domain-match severity=majr NOT devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.2365,TRELLIX NETWORK NX [Infection-Match],2439,No,N/A,No,N/A,4,,,,class=fireeye_nx_alert eventlog=infection-match severity=crit NOT devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.2709,TRELLIX NETWORK NX [Riskware-Infection Detected],1969,No,N/A,Yes,1,15674,,,,class=fireeye_nx_alert eventlog=riskware-infection severity=minr NOT devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.2368,TRELLIX NETWORK NX [Malware-Callback],2439,No,N/A,Yes,1110,"3,32,445",,,,class=fireeye_nx_alert eventlog=malware-callback severity=crit NOT devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.3275,TRELLIX NETWORK NX [Malware-Callback],1338,No,N/A,Yes,9,55,,,,class=fireeye_nx_alert eventlog=malware-callback severity=crit devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
1.1.3274,TRELLIX NETWORK NX [Malware-Callback],1338,No,N/A,Yes,9,55,,,,class=fireeye_nx_alert eventlog=malware-callback severity=crit devicename:`.ibosscloud.com` NOT srcipv4:$exclusions.global.srcipv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passthrough,,,
